iterations,groundtruth_num,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,1787,1810,0.5,0.4,0.7323232323232324,0.735870173475098,0.7340924184528909
2,1787,1304,0.5,0.4,0.8255086071987481,0.5987688864017907,0.6940906834073991
3,1787,1082,0.5,0.4,0.8187022900763359,0.4829322887520985,0.6075096300975932
4,1787,1025,0.5,0.4,0.2417815482502651,0.12758813654169,0.16703296703296702
5,1787,611,0.5,0.4,0.6858552631578947,0.2344711807498601,0.3494701134378272
