iterations,groundtruth_num,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,1787,1755,0.5,0.4,0.7759530791788857,0.748740906547286,0.7621041564820598
2,1787,6093,0.5,0.4,0.25290697674418605,0.7353105763850027,0.37636484851477814
3,1787,2179,0.5,0.4,0.6664987405541561,0.7498601007274762,0.7057262582897915
4,1787,2810,0.5,0.4,0.4638487208008899,0.7050923335198657,0.5595768507587388
5,1787,2145,0.5,0.4,0.7329639889196676,0.7493005036373811,0.7410422212814802
