iterations,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,1596,0.4,0.05,0.06573275862068965,0.9384615384615385,0.1228600201409869
1,279,0.4,0.1,0.2196969696969697,0.8923076923076924,0.35258358662613987
1,131,0.4,0.15,0.7236842105263158,0.8461538461538461,0.7801418439716312
1,106,0.4,0.2,0.7236842105263158,0.8461538461538461,0.7801418439716312
1,90,0.4,0.25,0.7236842105263158,0.8461538461538461,0.7801418439716312
1,78,0.4,0.3,0.7236842105263158,0.8461538461538461,0.7801418439716312
1,73,0.4,0.35,0.7714285714285715,0.8307692307692308,0.8
1,68,0.4,0.39999999999999997,0.828125,0.8153846153846154,0.8217054263565892
1,66,0.4,0.44999999999999996,0.828125,0.8153846153846154,0.8217054263565892
1,65,0.4,0.49999999999999994,0.828125,0.8153846153846154,0.8217054263565892
1,63,0.4,0.5499999999999999,0.8813559322033898,0.8,0.8387096774193548
1,63,0.4,0.6,0.8813559322033898,0.8,0.8387096774193548
1,61,0.4,0.65,0.8813559322033898,0.8,0.8387096774193548
1,58,0.4,0.7,0.9107142857142857,0.7846153846153846,0.8429752066115703
1,56,0.4,0.75,0.9107142857142857,0.7846153846153846,0.8429752066115703
1,55,0.4,0.7999999999999999,0.9259259259259259,0.7692307692307693,0.8403361344537816
1,54,0.4,0.85,0.9259259259259259,0.7692307692307693,0.8403361344537816
1,53,0.4,0.9,0.9607843137254902,0.7538461538461538,0.8448275862068965
1,47,0.4,0.95,0.9574468085106383,0.6923076923076923,0.8035714285714286
""
Number of pineapples:,65
