iterations,groundtruth_num,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,1787,1715,0.5,0.4,0.7700471698113207,0.7336317851147174,0.7513985321939983
2,1787,85892,0.5,0.4,0.01091799558024249,0.5159485170677113,0.02138349465661306
3,1787,1811,0.5,0.4,0.7457722660653889,0.7465025181869054,0.746137213449885
4,1787,271,0.5,0.4,0.974169741697417,0.14773363178511473,0.2565597667638484
5,1787,1806,0.5,0.4,0.7737104825291181,0.7811975377728035,0.7774359846486514
