iterations,groundtruth_num,num_detections,nms_threshold,confidence_threshold,precision,recall,f1_score
1,81,94458,0.5,0.4,0.0010319917440660474,0.9629629629629629,0.0020617739185599298
2,81,53676,0.5,0.4,0.002413054625524085,0.9876543209876543,0.004814346753324908
3,81,37929,0.5,0.4,0.003589053387169134,0.9876543209876543,0.0071521165795002456
4,81,70231,0.5,0.4,0.0013327035325078444,0.9753086419753086,0.0026617699085227176
5,81,59991,0.5,0.4,0.0013740803228219087,0.9753086419753086,0.0027442942995101957
